Producto;ProdNombre;Division;Estilo ID;Categoria;Grupo;Marca;UltFecha_EC;SaldoUND_EC;UltFecha_DS;SaldoUND_DS
D004300;USA BALANCE;DS HOGAR;;DS COCINA;DS BALANCE;DS SEGUNDA ;;0;;1
461748;ZAPATOS P/NIÑO  PRE-JUV CASUAL;CALZADO;N-07-2510;CALZADO PRE-JUV P/NIÑO;ZAPATOS P/NIÑO PRE-JUV CASUAL;54 FIFTY FOUR;;0;45227;1
D100511;USA LIENZO;DS HOGAR;DS86893;DS SALA;DS LIENZO;DS SEGUNDA ;;0;;1
C017665;MOCHILA P/NIÑO PAW PATROL T-16;ESCOLAR;11007-32-16;MOCHILAS ESCOLARES;MOCHILA P/NIÑO 15/16;YIWU LYFHON;;0;46029;3
D107537;USA SHORTS P/DAMA TELA;DS ROPA;DS93765;DS ROPA DAMA;DS SHORT P/DAMA TELA;DS SEGUNDA ;;0;;-84
D006787;USA CAMERA KING;DS HOGAR;;DS DORMITORIO;DS CAMERA KING;DS SEGUNDA;;0;;2
D023622;USA BRASSIER P/DAMA;DS INTERIOR;DS11296;DS INTERIOR DAMA;DS BRASSIER P/DAMA;DS SEGUNDA ;;0;;2
C088721;CONJUNTO P/DAMA BLUSA+PANTALON TELA D/VESTIR;ROPA;7450 YLF;DAMA;CONJUNTO P/DAMA D/VESTIR PANTALON;YIWU LYFHON;;0;46017;2
D108415;USA SUETER P/NIÑO MESES;DS ROPA;DS94643;DS INVIERNO;DS SUETER P/BEBE NIÑO;DS SEGUNDA ;;0;;-3
C170863;ZAPATILLAS P/NIÑA PRE-INF DEPORTIVAS ;CALZADO;43280-315-261;CALZADO PRE-INF NIÑA;ZAPATILLAS P/NIÑA PRE-INF DEPORTIVA;YIWU LYFHON;;0;46093;4
C081739;SHORTS P/NIÑO JUV CARGO TELA;ROPA;SH-SK-J01;JUVENIL NIÑO;SHORTS P/NIÑO JUV CARGO TELA;SKANDALO;;0;46141;2
C111831;TENIS P/NIÑA PRE-INF;CALZADO;43226-24314;CALZADO PRE-INF NIÑA;TENIS P/NIÑA PRE-INF;YIWU LYFHON;;0;46083;1
C111095;CAMISA P/NIÑO JUV M/C JEANS;ROPA;CA-18A;JUVENIL NIÑO;CAMISA P/NIÑO JUV M/C JEANS;+FLOW;;0;46014;2
C042646;TIJERAS ;ESCOLAR;21117-8023;UTILES ESCOLARES;TIJERAS;YIWU LYFHON;;0;45666;10
D073697;USA TORERO P/DAMA TELA;DS ROPA;DS60455;DS ROPA DAMA;DS TORERO TELA P/DAMA;DS SEGUNDA ;;0;;4
D107411;USA TORERO P/DAMA TELA;DS ROPA;DS93639;DS ROPA DAMA;DS TORERO TELA P/DAMA;DS SEGUNDA ;;0;;-4
C067745;CONJUNTO P/DAMA D/VESTIR BLUSA+FALDA TELA;ROPA;MC-CNJ-DM-08;DAMA;CONJUNTO P/DAMA D/VESTIR FALDA TELA;MIA COLLECTION;;0;46137;6
C011536;PIJAMA P/NIÑA JUV BLUSA D/T+SHORTS;ROPA;423-1405132;ROPA DORMIR;PIJAMA P/NIÑA JUV SHORTS;ANGELA;;0;45185;1
C192459;ZAPATILLAS P/NIÑA JUV DEPORTIVAS;CALZADO;MT6260GXL;CALZADO JUVENIL P/NIÑA;ZAPATILLAS P/NIÑA JUV DEPORTIVAS ALTAS ;BLINK;;0;46104;2
C118792;JEANS P/DAMA CARGO SKINNY ;ROPA;10903-55332;DAMA;JEANS P/DAMA CARGO  0-7/8;MOST WANTED;;0;46113;1
D006402;USA CAMISETA PAPA SIZE T/POLO;DS ROPA;;DS ROPA PAPA SIZE;DS CAMISETA POLO M/C PAPA SIZE;DS SEGUNDA ;;0;;1
D108444;USA CAMISETA P/NIÑO INF C/R;DS ROPA;DS94672;DS ROPA INFANTIL NIÑO;DS CAMISETA P/NIÑO INF C/R C/V;DS SEGUNDA ;;0;;-49
C179135;TENIS P/NIÑO JUV;CALZADO;SL017;CALZADO JUVENIL P/NIÑO;TENIS P/NIÑO JUV;MINAYA;;0;46141;2
C043348;GORRA P/NIÑO T/BICERA C/VENTILADOR ;ACCESORIOS;38546-1013-3;ACCESORIOS PERSONALES;GORRA P/NIÑO C/VENTILADOR ;YIWU LYFHON;;0;46052;7
C085188;PARLANTE BLUETOOTH GRANDE;TECNOLOGIA;3630/MY;ACCESORIOS DE TECNOLOGIA;PARLANTES;MINAYA;;0;45655;1
C114374;TENIS P/DAMA;CALZADO;KG-1851L;CALZADO P/DAMA;TENIS P/DAMA;GOR-7;;0;46078;1
465191;BLUSA P/DAMA D/TIRANTES D/VESTIR;ROPA;Q-1118X;DAMA;BLUSA P/DAMA D/T D/VESTIR;PICARESKA;;0;45503;1
486935;SHORTS P/NIÑO JUV TELA COLORES;ROPA;JBS-4004;JUVENIL NIÑO;SHORTS P/NIÑO JUV TELA;BANANA BLUE;;0;46096;1
C138131;JEANS P/DAMA SKINNY;ROPA;10901-57360;DAMA;JEANS P/DAMA 3/4-15/16;MOST WANTED;;0;46133;1
D073696;USA TORERO P/DAMA TELA;DS ROPA;DS60454;DS ROPA DAMA;DS TORERO TELA P/DAMA;DS SEGUNDA ;;0;;5
C066517;BLUSA P/NIÑA JUV M/C;ROPA;MC-CRP-JUV-7;JUVENIL NIÑA;BLUSA P/NIÑA JUV M/C ALGODON;MIA COLLECTION;;0;46017;1
D050886;USA BOXER P/CABALLERO;DS INTERIOR;DS38014;DS INTERIOR CABALLERO;DS BOXER P/CABALLERO;DS SEGUNDA ;;0;;1
D083328;USA CAMISA P/NIÑO JUV M/C;DS ROPA;DS69937;DS ROPA JUVENIL NIÑO;DS CAMISA M/C P NIÑO JUV;DS SEGUNDA ;;0;;1
C092946;SET PEINES P/NIÑA 3PZS;BELLEZA;35396-422-22;ARTICULOS DE CABELLO;PEINE P/NIÑA ;YIWU LYFHON;;0;45822;5
C115483;BLUSA P/DAMA M/L D/VESTIR BRILLO;ROPA;B-2785;DAMA;BLUSA P/DAMA M/L D/VESTIR;SOFIAS;;0;45883;1
D082029;USA VESTIDO P/DAMA CASUAL;DS ROPA;DS68638;DS ROPA DAMA;DS VESTIDO CASUAL P/DAMA;DS SEGUNDA ;;0;;14
C147688;CAMISA P/NIÑO JUV M/L ESTAMPADA;ROPA;MCC/LT-M/L-JUV02;JUVENIL NIÑO;CAMISA P/NIÑO JUV M/L ESTAMPADA;MEUCCI;;0;46111;10
C138409;JEANS P/NIÑO INF CARPINTERO RECTO NEGRO;ROPA;JNSCP-SK/W-INF01;INFANTIL NIÑO;JEANS P/NIÑO INF CARPINTERO;SKANDALO;;0;46105;1
C020776;VESTIDO P/DAMA M/L FORMAL LARGO;ROPA;V-3511;DAMA;VESTIDO P/DAMA FORMAL LARGO M/L;SOFIAS;;0;45952;1
D084352;SH PANTALON P/DAMA CUERO;DS ROPA;DS70961;SH ROPA DAMA;SH PANTALON P/DAMA CUERO;SHEIN;;0;;1
C110819;JEANS P/NIÑA JUV MODA RECTO ;ROPA;AA-87391;JUVENIL NIÑA;JEANS P/NIÑA JUV STRAIGHT;SEXY COUTURE;;0;45954;3
C076773;BLUSA P/NIÑA INF M/C D/VESTIR FLOR LENEAL ;ROPA;BLS-INF-F.LENE;INFANTIL NIÑA;BLUSA P/NIÑA INF M/C D/VESTIR;MIA COLLECTION;;0;46120;2
C069864;CAMISETA P/HOM M/C DEP HONDURAS BLC/AZUL RAYADA;DEPORTIVA;CM/HOM-BLC/AZUL;DEPORTIVO P/HOMBRE;CAMISETA P/HOM DEPORTIVA EQUIPOS;;;0;45822;1
C138587;ZAPATOS P/DAMA TACON CUADRADO;CALZADO;XXY017;CALZADO P/DAMA;ZAPATOS P/DAMA TACON;MINAYA;;0;46046;1
C113039;SANDALIAS P/DAMA TACON CORRIDO;CALZADO;BZ25017;CALZADO P/DAMA;SANDALIAS P/DAMA TACON CORRIDO;SKANDALO;;0;46096;2
C105224;BLUSA P/DAMA D/T D/VESTIR CORTA CHONGO ;ROPA;BLS-DM-VST-COT.CH;DAMA;BLUSA P/DAMA D/T D/VESTIR;MIA COLLECTION;;0;45983;1
D057785;USA CAMISETA P/NIÑO INF T/POLO;DS ROPA;DS44815;DS ROPA INFANTIL NIÑO;DS CAMISETA P/NIÑO INF T/POLO;DS SEGUNDA ;;0;;1
